id,employee_id,department,objective,key_result,progress,performance_score,start_date,end_date,status,priority,effort_hours,actual_hours,quality_score,team_size,budget,actual_spent
27,EMP_090,Finance,Expand market reach,Achieve 95% customer satisfaction score,0.676,0.824,2024-05-01,2024-12-31,Active,High,73,101,0.8295383494522411,1,8343,30962
28,EMP_069,Operations,Reduce operational costs,Increase revenue by 25%,0.795,0.69,2024-03-26,2024-12-31,Active,High,68,101,0.8262608038793331,2,40247,33221
29,EMP_085,HR,Increase customer satisfaction,Enter 3 new markets,0.351,0.605,2024-01-10,2024-12-31,Active,Medium,108,49,0.9024609000630509,2,28289,10539
30,EMP_069,Finance,Enhance team productivity,Reduce bug reports by 30%,0.901,0.81,2024-12-05,2024-12-31,Completed,Medium,163,136,0.8726984301219349,3,43155,25680
31,EMP_067,Engineering,Increase customer satisfaction,Reduce bug reports by 30%,0.616,0.67,2024-01-12,2024-12-31,Active,Low,85,88,0.870759826128572,5,20305,15374
32,EMP_075,Finance,Enhance team productivity,Achieve 95% customer satisfaction score,0.679,0.706,2024-12-22,2024-12-31,Active,High,191,126,0.6712328388068218,7,39911,14264
33,EMP_024,Operations,Reduce operational costs,Complete 90% of sprint goals,1.0,0.734,2024-08-04,2024-12-31,Completed,Low,144,172,0.6245841320482384,4,5728,33409
34,EMP_049,HR,Enhance team productivity,Reduce costs by 15%,0.688,0.849,2024-02-21,2024-12-31,Active,Low,150,107,0.9623541781691516,5,45419,31354
35,EMP_053,Engineering,Reduce operational costs,Reduce costs by 15%,0.61,0.799,2024-08-10,2024-12-31,Active,Medium,172,104,1.017529324966822,3,11801,18755
36,EMP_007,Operations,Reduce operational costs,Reduce bug reports by 30%,0.767,0.933,2024-07-12,2024-12-31,Active,High,68,117,0.7051915658502675,4,31256,15959
37,EMP_071,Engineering,Reduce operational costs,Complete 90% of sprint goals,1.0,0.657,2024-10-01,2024-12-31,Completed,High,147,119,1.0070032280542671,2,33178,29904
38,EMP_013,Sales,Enhance team productivity,Enter 3 new markets,0.549,0.848,2024-01-01,2024-12-31,Active,Low,131,71,0.8391239851543142,1,28960,18493
39,EMP_056,Engineering,Expand market reach,Reduce costs by 15%,0.764,0.948,2024-07-21,2024-12-31,Active,High,186,122,0.8997998291245449,1,43413,18431
40,EMP_087,Engineering,Boost sales performance,Complete 90% of sprint goals,1.0,0.669,2024-01-08,2024-12-31,Completed,Medium,131,155,0.7290877610439014,4,36921,37945
41,EMP_028,HR,Reduce operational costs,Achieve 95% customer satisfaction score,0.685,0.551,2024-05-24,2024-12-31,Active,High,196,107,0.914889324125355,5,15136,24060
42,EMP_005,Engineering,Expand market reach,Achieve 95% customer satisfaction score,0.724,0.851,2024-09-23,2024-12-31,Active,High,65,115,0.8840922198558954,3,26168,21274
43,EMP_077,Engineering,Improve product quality,Achieve 95% customer satisfaction score,0.431,0.71,2024-11-06,2024-12-31,Active,Medium,134,75,0.8693278061849385,7,28524,17554
44,EMP_083,Engineering,Reduce operational costs,Enter 3 new markets,0.913,0.702,2024-06-21,2024-12-31,Completed,High,43,130,0.921161487808889,2,41187,21753
45,EMP_095,Sales,Improve product quality,Reduce bug reports by 30%,1.0,0.786,2024-11-01,2024-12-31,Completed,High,93,168,0.9842088504305915,7,24758,36983
46,EMP_014,Sales,Boost sales performance,Increase revenue by 25%,0.672,0.835,2024-08-13,2024-12-31,Active,Medium,89,123,0.6769126896234432,3,15209,27382
47,EMP_052,Engineering,Expand market reach,Achieve 95% customer satisfaction score,0.653,1.0,2024-09-03,2024-12-31,Active,Medium,90,123,0.9145732788723248,2,24856,11062
48,EMP_088,Finance,Improve product quality,Enter 3 new markets,0.739,0.49,2024-08-22,2024-12-31,Active,Low,154,116,0.6325117497346903,7,11090,32327
49,EMP_016,HR,Enhance team productivity,Achieve 95% customer satisfaction score,0.737,0.943,2024-04-02,2024-12-31,Active,Medium,100,107,0.7707127167737655,5,28061,14953
50,EMP_034,Engineering,Expand market reach,Reduce bug reports by 30%,0.712,0.785,2024-09-05,2024-12-31,Active,Low,160,114,0.8622505498339519,3,24262,31218
51,EMP_048,Finance,Increase customer satisfaction,Reduce bug reports by 30%,0.786,0.805,2024-10-29,2024-12-31,Active,Low,95,173,0.8189275735382806,7,7125,31793
52,EMP_014,Marketing,Boost sales performance,Increase revenue by 25%,0.7,0.804,2024-08-26,2024-12-31,Active,High,57,131,1.0023787410193807,7,13152,8722
53,EMP_028,Sales,Increase customer satisfaction,Achieve 95% customer satisfaction score,0.621,0.638,2024-10-26,2024-12-31,Active,High,184,92,0.6389300478849821,2,13258,17130
54,EMP_100,Operations,Improve product quality,Achieve 95% customer satisfaction score,1.0,0.499,2024-04-10,2024-12-31,Completed,Medium,65,181,0.7084797480482485,3,22260,32977
55,EMP_070,Finance,Increase customer satisfaction,Achieve 95% customer satisfaction score,0.709,0.458,2024-12-15,2024-12-31,Active,Low,101,129,0.8645204060285459,7,46605,21218
56,EMP_051,Operations,Increase customer satisfaction,Reduce bug reports by 30%,0.84,1.0,2024-06-21,2024-12-31,Active,High,109,166,0.9140582006949152,4,7048,21134
57,EMP_090,Operations,Expand market reach,Reduce costs by 15%,0.903,0.802,2024-11-28,2024-12-31,Completed,Low,42,141,0.8092539862364735,2,21644,32116
58,EMP_065,Finance,Increase customer satisfaction,Achieve 95% customer satisfaction score,0.635,0.789,2024-02-07,2024-12-31,Active,Low,133,81,0.7940258025271728,5,13567,26563
59,EMP_075,Engineering,Improve product quality,Complete 90% of sprint goals,0.884,0.772,2024-11-15,2024-12-31,Active,Medium,99,138,0.861372946021298,1,35523,24916
60,EMP_005,Marketing,Boost sales performance,Enter 3 new markets,0.686,0.469,2024-08-24,2024-12-31,Active,Medium,128,117,0.7999213617582406,6,44711,30120
61,EMP_051,Finance,Expand market reach,Achieve 95% customer satisfaction score,0.754,1.0,2024-06-01,2024-12-31,Active,High,92,125,0.9270865193886967,3,46157,23436
62,EMP_072,Sales,Enhance team productivity,Reduce costs by 15%,0.864,1.0,2024-06-05,2024-12-31,Active,Medium,136,137,0.9470077777913727,1,43141,29517
63,EMP_068,Operations,Improve product quality,Reduce bug reports by 30%,1.0,0.794,2024-04-27,2024-12-31,Completed,Medium,180,154,0.7521236284217693,5,25103,27862
64,EMP_076,Finance,Improve product quality,Increase revenue by 25%,0.639,1.0,2024-10-18,2024-12-31,Active,Medium,82,122,0.9681974048621814,6,19153,20974
65,EMP_038,Operations,Improve product quality,Enter 3 new markets,0.902,0.832,2024-04-13,2024-12-31,Completed,Medium,150,157,1.0064704584933528,4,42219,24058
66,EMP_009,Operations,Boost sales performance,Reduce costs by 15%,1.0,0.706,2024-06-30,2024-12-31,Completed,Low,96,150,0.7265055606462586,3,7708,24503
67,EMP_047,Engineering,Reduce operational costs,Achieve 95% customer satisfaction score,0.873,0.705,2024-06-02,2024-12-31,Active,High,74,156,0.6179262626021869,3,12973,19747
68,EMP_034,Marketing,Increase customer satisfaction,Increase revenue by 25%,0.491,0.871,2024-06-28,2024-12-31,Active,Medium,127,47,0.9538826145111929,3,9757,11238
69,EMP_026,HR,Improve product quality,Reduce costs by 15%,0.839,0.802,2024-12-26,2024-12-31,Active,High,187,118,0.8335464341950304,5,25806,21784
70,EMP_087,Marketing,Boost sales performance,Increase revenue by 25%,0.78,0.733,2024-10-31,2024-12-31,Active,High,69,82,0.8803105666100579,1,43258,29228
71,EMP_047,Sales,Improve product quality,Enter 3 new markets,0.334,0.614,2024-06-14,2024-12-31,Active,Low,102,47,0.7784190131131382,7,45806,5886
72,EMP_083,Operations,Improve product quality,Complete 90% of sprint goals,0.934,0.983,2024-11-18,2024-12-31,Completed,Low,111,106,0.8598745777637334,3,44986,27378
73,EMP_097,HR,Improve product quality,Increase revenue by 25%,0.913,0.659,2024-04-29,2024-12-31,Completed,Medium,183,178,0.7492910635693739,5,26389,30348
74,EMP_007,Sales,Increase customer satisfaction,Reduce costs by 15%,0.688,0.55,2024-01-02,2024-12-31,Active,High,86,145,0.7001340598493044,7,39177,26338
75,EMP_067,HR,Enhance team productivity,Reduce costs by 15%,0.987,0.699,2024-08-13,2024-12-31,Completed,High,138,177,0.8469041749363426,1,33529,40387
76,EMP_073,Operations,Expand market reach,Increase revenue by 25%,0.884,0.643,2024-01-29,2024-12-31,Active,High,137,137,0.6870407014023673,1,27180,29292
77,EMP_025,Operations,Improve product quality,Complete 90% of sprint goals,0.801,0.947,2024-09-24,2024-12-31,Active,High,92,91,0.7220423033264298,2,41397,22296
78,EMP_036,Marketing,Improve product quality,Reduce costs by 15%,0.79,0.571,2024-06-12,2024-12-31,Active,High,78,110,0.9041001872603629,7,28150,24356
79,EMP_024,Operations,Expand market reach,Reduce costs by 15%,0.399,0.781,2024-08-26,2024-12-31,Active,Low,120,115,0.840394010027535,2,37921,1374
80,EMP_040,Engineering,Increase customer satisfaction,Achieve 95% customer satisfaction score,0.68,0.915,2024-01-25,2024-12-31,Active,Low,74,140,0.899973762011211,4,14650,23057
81,EMP_094,Operations,Improve product quality,Complete 90% of sprint goals,0.605,0.763,2024-10-31,2024-12-31,Active,High,56,95,0.9120672097550677,7,25491,23460
82,EMP_008,Finance,Increase customer satisfaction,Reduce costs by 15%,0.774,0.925,2024-01-25,2024-12-31,Active,Medium,128,133,0.985484517237325,1,32935,28360
83,EMP_010,Engineering,Improve product quality,Reduce costs by 15%,0.36,0.758,2024-11-30,2024-12-31,Active,High,46,66,0.8286727624034208,2,46786,10587
84,EMP_094,HR,Boost sales performance,Reduce bug reports by 30%,0.886,1.0,2024-01-14,2024-12-31,Active,Low,191,148,0.8065503772567684,2,21514,25043
85,EMP_037,Marketing,Improve product quality,Complete 90% of sprint goals,1.0,0.848,2024-01-04,2024-12-31,Completed,High,192,162,1.0213573990822205,5,18737,28909
86,EMP_099,Sales,Improve product quality,Enter 3 new markets,0.949,0.896,2024-02-08,2024-12-31,Completed,Medium,68,148,0.7982711549899628,5,17984,35521
87,EMP_016,HR,Increase customer satisfaction,Reduce bug reports by 30%,0.697,0.7,2024-12-05,2024-12-31,Active,High,104,103,0.8218215391139493,6,29951,15871
88,EMP_062,Finance,Increase customer satisfaction,Achieve 95% customer satisfaction score,0.54,0.763,2024-05-19,2024-12-31,Active,Low,76,68,0.9484322398476583,6,45970,15124
89,EMP_062,Finance,Improve product quality,Achieve 95% customer satisfaction score,0.731,0.808,2024-03-12,2024-12-31,Active,High,102,129,0.7996295519326858,6,16593,21276
90,EMP_041,Engineering,Improve product quality,Increase revenue by 25%,0.65,0.87,2024-02-23,2024-12-31,Active,Low,48,114,0.812660073162343,2,30425,13625
91,EMP_062,Engineering,Boost sales performance,Increase revenue by 25%,0.609,0.694,2024-03-29,2024-12-31,Active,High,107,80,0.866469782743714,1,28874,17363
92,EMP_067,Engineering,Improve product quality,Complete 90% of sprint goals,0.398,0.79,2024-01-25,2024-12-31,Active,High,178,59,0.832305277250595,7,9133,7937
93,EMP_072,Marketing,Reduce operational costs,Reduce bug reports by 30%,0.86,0.806,2024-06-24,2024-12-31,Active,High,67,68,0.7629776757856488,5,23546,23359
94,EMP_098,Marketing,Reduce operational costs,Reduce costs by 15%,0.959,0.824,2024-12-01,2024-12-31,Completed,High,98,188,0.8905617593140378,3,37088,32340
95,EMP_053,Sales,Enhance team productivity,Increase revenue by 25%,0.62,0.872,2024-08-22,2024-12-31,Active,High,97,120,0.8405246626421597,2,45329,15895
96,EMP_039,Sales,Enhance team productivity,Reduce bug reports by 30%,0.878,0.804,2024-10-21,2024-12-31,Active,Medium,52,166,0.8691099068019903,1,36966,26565
97,EMP_098,HR,Reduce operational costs,Increase revenue by 25%,0.672,0.699,2024-03-14,2024-12-31,Active,High,102,83,0.8101107507746449,5,10084,17376
98,EMP_100,Sales,Enhance team productivity,Increase revenue by 25%,0.848,0.874,2024-07-11,2024-12-31,Active,Medium,159,123,0.7941078152728411,5,32083,27336
99,EMP_007,Finance,Boost sales performance,Achieve 95% customer satisfaction score,0.724,0.495,2024-02-27,2024-12-31,Active,Low,65,113,0.7275064949811048,4,19288,28207
100,EMP_075,HR,Improve product quality,Enter 3 new markets,0.772,0.727,2024-07-13,2024-12-31,Active,High,165,116,0.8277587221544435,5,44214,17411
101,EMP_080,Finance,Boost sales performance,Complete 90% of sprint goals,0.445,0.696,2024-09-13,2024-12-31,Active,Medium,163,90,0.936009638414307,3,31431,15360
102,EMP_018,HR,Boost sales performance,Complete 90% of sprint goals,0.888,0.84,2024-11-04,2024-12-31,Active,Low,66,137,0.8959929025822144,3,22343,29676
103,EMP_044,Finance,Enhance team productivity,Reduce bug reports by 30%,1.0,0.874,2024-06-01,2024-12-31,Completed,Medium,56,131,0.9106165090611456,1,43565,27125
104,EMP_086,Operations,Reduce operational costs,Reduce costs by 15%,0.657,0.582,2024-03-04,2024-12-31,Active,High,111,144,1.0462822634045459,2,22773,17788
105,EMP_095,Operations,Boost sales performance,Reduce costs by 15%,0.802,0.87,2024-06-27,2024-12-31,Active,High,184,131,0.7588205511248642,7,13783,16685
106,EMP_033,Sales,Improve product quality,Complete 90% of sprint goals,0.732,0.809,2024-08-20,2024-12-31,Active,High,197,101,0.7498379990105084,7,37857,20556
107,EMP_046,Sales,Improve product quality,Reduce bug reports by 30%,0.77,0.759,2024-12-25,2024-12-31,Active,Low,100,159,0.8857925728691769,2,8389,25700
108,EMP_007,Marketing,Enhance team productivity,Complete 90% of sprint goals,1.0,1.0,2024-01-03,2024-12-31,Completed,Low,80,169,0.8278087547206446,2,20349,23927
109,EMP_012,HR,Reduce operational costs,Achieve 95% customer satisfaction score,0.686,0.864,2024-02-24,2024-12-31,Active,Medium,139,121,0.8875251255618718,5,9790,23107
110,EMP_059,Marketing,Enhance team productivity,Reduce bug reports by 30%,0.351,0.595,2024-07-25,2024-12-31,Active,High,174,46,0.9591046102164668,7,5956,9961
111,EMP_024,HR,Reduce operational costs,Complete 90% of sprint goals,0.925,0.915,2024-05-31,2024-12-31,Completed,Medium,135,139,0.857661610545846,2,27015,35291
112,EMP_036,Operations,Improve product quality,Increase revenue by 25%,1.0,0.92,2024-09-24,2024-12-31,Completed,Low,57,163,0.987680349287893,3,24975,33885
113,EMP_100,Operations,Improve product quality,Complete 90% of sprint goals,0.796,0.451,2024-10-19,2024-12-31,Active,High,80,138,0.8129385667913894,7,37781,12711
114,EMP_002,Operations,Increase customer satisfaction,Increase revenue by 25%,0.797,0.669,2024-06-11,2024-12-31,Active,High,44,95,0.96077204502817,4,17588,20370
115,EMP_023,Marketing,Improve product quality,Increase revenue by 25%,0.366,0.701,2024-04-02,2024-12-31,Active,Medium,115,53,0.9733686921376036,4,43663,18491
116,EMP_064,Operations,Enhance team productivity,Complete 90% of sprint goals,0.92,0.752,2024-04-29,2024-12-31,Completed,Low,173,188,0.8240957854179297,2,21001,26619
117,EMP_073,Finance,Enhance team productivity,Reduce bug reports by 30%,0.897,0.788,2024-11-20,2024-12-31,Active,High,51,146,0.8952534891821334,1,20398,31885
118,EMP_050,HR,Expand market reach,Complete 90% of sprint goals,0.171,0.69,2024-12-06,2024-12-31,Active,High,47,37,0.8041563059813082,7,43006,2153
119,EMP_090,Marketing,Improve product quality,Enter 3 new markets,1.0,0.791,2024-05-15,2024-12-31,Completed,Low,152,182,0.968703030556038,3,18598,24552
120,EMP_069,Engineering,Improve product quality,Enter 3 new markets,1.0,0.951,2024-03-13,2024-12-31,Completed,High,116,154,0.789566143055336,2,40941,28366
121,EMP_004,Operations,Boost sales performance,Enter 3 new markets,0.908,0.741,2024-05-08,2024-12-31,Completed,Medium,93,118,0.9664434645992908,1,32723,33097
122,EMP_019,HR,Reduce operational costs,Achieve 95% customer satisfaction score,1.0,0.96,2024-10-17,2024-12-31,Completed,Medium,50,204,1.0142015160136368,2,30537,35049
123,EMP_046,Engineering,Boost sales performance,Reduce costs by 15%,0.762,0.969,2024-04-26,2024-12-31,Active,High,193,89,0.8670970971568219,4,48790,27967
124,EMP_046,Sales,Enhance team productivity,Increase revenue by 25%,0.313,0.998,2024-04-16,2024-12-31,Active,Low,119,51,0.9258928589786765,1,13906,10791
125,EMP_051,HR,Reduce operational costs,Reduce costs by 15%,0.599,0.758,2024-02-21,2024-12-31,Active,Medium,66,97,0.9269657751345625,2,47641,19557
126,EMP_090,Engineering,Expand market reach,Increase revenue by 25%,0.737,0.719,2024-11-07,2024-12-31,Active,High,81,128,0.8356154229088036,6,39566,26082
127,EMP_054,Engineering,Enhance team productivity,Reduce costs by 15%,0.844,0.821,2024-04-27,2024-12-31,Active,High,176,146,0.9660682495697125,2,43520,19112
128,EMP_037,HR,Improve product quality,Increase revenue by 25%,0.611,0.865,2024-12-10,2024-12-31,Active,Medium,186,115,0.7664652946740242,2,31160,29068
129,EMP_099,HR,Improve product quality,Achieve 95% customer satisfaction score,0.713,0.781,2024-10-19,2024-12-31,Active,Low,199,87,0.9252702148572627,5,44420,24723
130,EMP_018,Marketing,Improve product quality,Enter 3 new markets,0.44,1.0,2024-10-06,2024-12-31,Active,Medium,58,62,0.6850917666065777,7,44532,18431
131,EMP_036,Finance,Increase customer satisfaction,Complete 90% of sprint goals,0.634,0.648,2024-03-10,2024-12-31,Active,High,52,86,0.8533458770992303,5,7475,20178
132,EMP_072,Sales,Boost sales performance,Enter 3 new markets,0.439,0.763,2024-12-07,2024-12-31,Active,Medium,169,39,1.0172572386837704,6,37007,15259
133,EMP_022,HR,Improve product quality,Complete 90% of sprint goals,0.772,0.857,2024-10-29,2024-12-31,Active,High,94,105,0.8581276842767027,1,8083,29732
134,EMP_084,Marketing,Expand market reach,Reduce costs by 15%,0.507,0.687,2024-10-12,2024-12-31,Active,High,123,96,0.775082075937087,7,9895,16339
135,EMP_033,Finance,Enhance team productivity,Enter 3 new markets,0.692,0.739,2024-08-24,2024-12-31,Active,Medium,144,73,0.9007991326912543,4,47685,31533
136,EMP_055,Operations,Boost sales performance,Enter 3 new markets,0.524,0.838,2024-04-10,2024-12-31,Active,Medium,51,83,0.8061412793742704,2,12629,21542
137,EMP_006,Marketing,Enhance team productivity,Enter 3 new markets,0.715,0.687,2024-03-06,2024-12-31,Active,Low,169,128,0.8620225633434213,2,13984,11604
138,EMP_095,Operations,Increase customer satisfaction,Enter 3 new markets,0.706,0.843,2024-01-25,2024-12-31,Active,High,156,110,0.8439479477693691,4,21920,15932
139,EMP_079,HR,Reduce operational costs,Complete 90% of sprint goals,0.668,0.845,2024-04-01,2024-12-31,Active,High,70,49,0.8793269314133503,4,40262,13979
140,EMP_002,HR,Boost sales performance,Increase revenue by 25%,0.87,0.6,2024-12-10,2024-12-31,Active,Medium,165,144,0.7936350972573657,1,33861,24044
141,EMP_007,HR,Increase customer satisfaction,Complete 90% of sprint goals,0.495,0.894,2024-04-10,2024-12-31,Active,Low,163,98,0.7015102031550096,4,42285,9633
142,EMP_063,Operations,Reduce operational costs,Increase revenue by 25%,0.708,0.624,2024-01-14,2024-12-31,Active,Low,125,77,0.8267328091480001,6,12758,16013
143,EMP_021,Sales,Improve product quality,Reduce costs by 15%,0.551,0.795,2024-07-06,2024-12-31,Active,Low,188,64,0.8459911487343447,4,42487,15670
144,EMP_093,HR,Reduce operational costs,Enter 3 new markets,1.0,0.874,2024-04-22,2024-12-31,Completed,High,56,157,0.8965045461015182,2,8631,30833
145,EMP_029,Engineering,Improve product quality,Reduce bug reports by 30%,1.0,0.709,2024-10-16,2024-12-31,Completed,Low,118,157,0.9476148358084708,5,36186,26978
146,EMP_072,Engineering,Boost sales performance,Achieve 95% customer satisfaction score,0.735,0.68,2024-08-15,2024-12-31,Active,Low,182,143,0.742333906547567,5,44261,13151
147,EMP_096,Sales,Expand market reach,Complete 90% of sprint goals,0.785,0.837,2024-12-25,2024-12-31,Active,High,112,100,0.7997537513089383,1,37125,22487
148,EMP_089,Sales,Expand market reach,Reduce bug reports by 30%,0.727,0.683,2024-12-12,2024-12-31,Active,Medium,157,108,0.9331628307664468,4,34921,21657
149,EMP_011,Sales,Increase customer satisfaction,Reduce bug reports by 30%,0.631,0.608,2024-11-10,2024-12-31,Active,Medium,163,78,0.8131020554890078,4,7461,19984
150,EMP_051,Operations,Increase customer satisfaction,Reduce costs by 15%,0.852,0.929,2024-04-28,2024-12-31,Active,Low,51,124,0.8332878286213589,5,44933,26987
151,EMP_021,Operations,Expand market reach,Enter 3 new markets,0.883,0.976,2024-07-21,2024-12-31,Active,Medium,189,149,0.7848643106208171,3,49638,20496
152,EMP_044,Finance,Expand market reach,Increase revenue by 25%,0.742,0.921,2024-01-03,2024-12-31,Active,Low,157,135,1.0311375028664982,7,44019,25379
153,EMP_025,Finance,Improve product quality,Reduce bug reports by 30%,0.708,0.672,2024-12-27,2024-12-31,Active,Medium,49,128,0.9083886294375312,3,30498,16310
154,EMP_009,HR,Enhance team productivity,Enter 3 new markets,1.0,0.835,2024-01-12,2024-12-31,Completed,High,53,164,0.9326994389117318,4,41751,33989
155,EMP_095,Operations,Boost sales performance,Reduce costs by 15%,0.692,0.659,2024-05-11,2024-12-31,Active,Medium,63,101,0.8142282817730756,6,43356,18693
156,EMP_017,HR,Reduce operational costs,Enter 3 new markets,0.514,0.719,2024-07-04,2024-12-31,Active,Low,171,88,0.8480024571280097,6,19226,12082
157,EMP_031,HR,Enhance team productivity,Increase revenue by 25%,0.586,0.799,2024-05-31,2024-12-31,Active,High,115,107,0.945530520857051,7,15258,11882
158,EMP_055,Engineering,Increase customer satisfaction,Reduce bug reports by 30%,0.711,0.713,2024-09-07,2024-12-31,Active,Low,96,110,0.8689847836212464,1,39051,24221
159,EMP_020,Marketing,Expand market reach,Enter 3 new markets,0.92,0.931,2024-03-30,2024-12-31,Completed,High,100,161,1.0175547393544484,6,40525,18120
160,EMP_019,Sales,Boost sales performance,Enter 3 new markets,0.784,0.712,2024-11-15,2024-12-31,Active,High,88,99,0.9193855763007921,4,31201,23007
161,EMP_004,Operations,Improve product quality,Increase revenue by 25%,1.0,0.731,2024-11-21,2024-12-31,Completed,High,99,154,0.7500687242349863,4,18975,28404
162,EMP_024,HR,Improve product quality,Enter 3 new markets,0.746,0.933,2024-12-01,2024-12-31,Active,Medium,145,105,0.8019797625852981,1,35508,25960
163,EMP_100,Marketing,Enhance team productivity,Reduce bug reports by 30%,0.265,0.933,2024-01-07,2024-12-31,Active,Medium,166,58,0.7608866991398513,3,6171,13753
164,EMP_014,Engineering,Reduce operational costs,Reduce bug reports by 30%,0.675,0.674,2024-10-31,2024-12-31,Active,Low,154,120,0.8579993380559143,1,11588,21978
165,EMP_041,Engineering,Improve product quality,Reduce costs by 15%,0.603,0.678,2024-11-22,2024-12-31,Active,Medium,72,76,0.8561679849847972,2,11171,16614
166,EMP_086,Engineering,Increase customer satisfaction,Reduce bug reports by 30%,0.78,0.788,2024-03-05,2024-12-31,Active,Medium,124,108,0.8904257195013452,1,8137,18993
167,EMP_074,Sales,Boost sales performance,Reduce costs by 15%,0.581,0.95,2024-10-20,2024-12-31,Active,Low,177,50,0.8463466650081389,5,17819,25358
168,EMP_086,Finance,Expand market reach,Complete 90% of sprint goals,0.805,0.746,2024-06-16,2024-12-31,Active,Medium,67,139,0.8438956574530004,4,28648,20468
169,EMP_042,HR,Boost sales performance,Enter 3 new markets,0.589,0.481,2024-06-26,2024-12-31,Active,Low,186,67,0.8237216611017532,4,38243,13623
